# Метеостанция Мазаново, Россия, WMO_ID=31443, выборка с 01.01.2010 по 01.01.2014, все дни
# Кодировка: ANSI
# Данные предоставлены WEB-сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=31443&lang=ru
#
"Местное время в Мазаново";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"15.03.2010 01:00";"-24.6";"754.2";"771.2";"";"86";"Ветер, дующий с юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-26.3";"";"";"";"";"";"";
"14.03.2010 22:00";"-18.7";"754.6";"771.1";"";"65";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"-7.0";"";"";"";"";"";"50.0";"-23.6";"";"";"";"";"";"";
"14.03.2010 19:00";"-9.6";"753.7";"769.6";"";"44";"Ветер, дующий с северо-северо-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"-19.6";"";"";"";"";"";"";
"14.03.2010 16:00";"-7.1";"753.7";"769.4";"";"42";"Ветер, дующий с западо-северо-запада";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"-17.9";"";"";"";"";"";"";
"14.03.2010 13:00";"-10.5";"754.0";"770.0";"";"50";"Ветер, дующий с юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-18.9";"";"";"";"";"";"";
"14.03.2010 10:00";"-17.1";"753.7";"770.0";"";"60";"Ветер, дующий с западо-юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"-23.4";"";"";"";"";"";"";"50.0";"-23.0";"";"";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"22.0";
"14.03.2010 07:00";"-22.7";"752.6";"769.4";"";"70";"Ветер, дующий с юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-26.7";"";"";"";"";"";"";
"14.03.2010 04:00";"-23.1";"751.5";"768.8";"";"70";"Ветер, дующий с юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-27.0";"";"";"";"";"";"";
"14.03.2010 01:00";"-20.1";"750.3";"766.8";"";"65";"Ветер, дующий с юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-25.0";"";"";"";"";"";"";
"13.03.2010 22:00";"-13.9";"749.3";"765.4";"";"55";"Ветер, дующий с запада";"2";"";"";"Облаков нет.";" ";"";"";"";"-8.2";"";"";"";"";"";"50.0";"-21.0";"";"";"";"";"";"";
"13.03.2010 19:00";"-9.7";"746.8";"762.7";"";"50";"Ветер, дующий с запада";"3";"";"";"20–30%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-18.2";"";"";"";"";"";"";
"13.03.2010 16:00";"-8.4";"745.0";"760.6";"";"54";"Ветер, дующий с северо-запада";"3";"";"";"60%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-16.0";"";"";"";"";"";"";
"13.03.2010 13:00";"-11.0";"743.5";"759.2";"";"55";"Ветер, дующий с северо-запада";"4";"";"";"100%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-18.3";"";"";"";"";"";"";
"13.03.2010 10:00";"-14.6";"741.3";"757.4";"";"60";"Ветер, дующий с северо-запада";"6";"";"";"100%.";" ";"";"";"-14.6";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-20.7";"";"";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"23.0";
"13.03.2010 07:00";"-13.8";"740.0";"755.8";"";"55";"Ветер, дующий с северо-запада";"5";"";"11";"100%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-20.9";"";"";"";"";"";"";
"13.03.2010 04:00";"-11.8";"738.9";"754.6";"";"60";"Ветер, дующий с северо-запада";"5";"";"11";"100%.";" ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-18.0";"";"";"";"";"";"";
"13.03.2010 01:00";"-11.0";"738.2";"753.8";"";"60";"Ветер, дующий с северо-запада";"5";"";"12";"100%.";" ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-17.2";"";"";"";"";"";"";
"12.03.2010 22:00";"-10.3";"738.1";"753.8";"";"60";"Ветер, дующий с северо-северо-запада";"5";"12";"13";"100%.";" ";"";"";"";"-8.1";"";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-16.6";"";"";"";"";"";"";
"12.03.2010 19:00";"-9.2";"737.7";"753.3";"";"61";"Ветер, дующий с северо-северо-запада";"5";"";"10";"100%.";" ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-15.4";"";"";"";"";"";"";
"12.03.2010 16:00";"-8.4";"737.8";"753.4";"";"63";"Ветер, дующий с севера";"5";"";"10";"100%.";" ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-14.2";"";"";"";"";"";"";
"12.03.2010 13:00";"-10.3";"740.0";"755.7";"";"60";"Ветер, дующий с северо-северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-16.6";"";"";"";"";"";"";
"12.03.2010 10:00";"-16.3";"741.3";"757.4";"";"80";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"-22.3";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-18.9";"";"";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"23.0";
"12.03.2010 07:00";"-21.2";"742.2";"758.6";"";"85";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-23.0";"";"";"";"";"";"";
"12.03.2010 04:00";"-22.3";"742.5";"759.0";"";"85";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-24.1";"";"";"";"";"";"";
"12.03.2010 01:00";"-19.9";"743.0";"759.3";"";"85";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-21.8";"";"";"";"";"";"";
"11.03.2010 22:00";"-15.9";"742.6";"758.7";"";"70";"Ветер, дующий с востоко-юго-востока";"1";"";"";"20–30%.";" ";"";"";"";"-6.1";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-20.1";"";"";"";"";"";"";
"11.03.2010 19:00";"-7.7";"740.7";"756.3";"";"54";"Ветер, дующий с севера";"1";"";"";"60%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"-15.5";"";"";"";"";"";"";
"11.03.2010 16:00";"-6.3";"740.2";"755.6";"";"47";"Ветер, дующий с юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-15.7";"";"";"";"";"";"";
"11.03.2010 13:00";"-8.4";"740.1";"755.6";"";"66";"Ветер, дующий с запада";"1";"";"";"40%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"-13.7";"";"";"";"";"";"";
"11.03.2010 10:00";"-17.2";"739.6";"755.7";"";"90";"Штиль, безветрие";"0";"";"";"60%.";"Состояние неба в общем не изменилось. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-19.9";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"-18.4";"";"";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"23.0";
"11.03.2010 07:00";"-18.2";"738.8";"754.9";"";"90";"Ветер, дующий с юго-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-19.4";"";"";"";"";"";"";
"11.03.2010 04:00";"-11.6";"738.2";"753.9";"";"90";"Ветер, дующий с юго-юго-запада";"2";"";"";"60%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"-12.9";"";"";"";"";"";"";
"11.03.2010 01:00";"-9.0";"738.2";"753.8";"";"76";"Ветер, дующий с юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-12.4";"";"";"";"";"";"";
"10.03.2010 22:00";"-7.0";"738.1";"753.5";"";"61";"Ветер, дующий с юга";"4";"";"11";"100%.";" ";"";"";"";"-6.4";"";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-13.3";"";"";"";"";"";"";
"10.03.2010 19:00";"-7.3";"738.6";"754.0";"";"55";"Ветер, дующий с юга";"4";"";"10";"100%.";" ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-14.9";"";"";"";"";"";"";
"10.03.2010 16:00";"-7.4";"739.4";"754.9";"";"54";"Ветер, дующий с юго-юго-востока";"6";"10";"11";"100%.";" ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-15.0";"";"";"";"";"";"";
"10.03.2010 13:00";"-11.7";"741.6";"757.4";"";"65";"Ветер, дующий с юго-юго-востока";"5";"";"";"100%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перисто-слоистые, покрывающие все небо.";"50.0";"-17.0";"";"";"";"";"";"";
"10.03.2010 10:00";"-15.8";"743.2";"759.4";"";"75";"Ветер, дующий с юго-юго-востока";"5";"";"";"100%.";" ";"";"";"-24.2";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перисто-слоистые, покрывающие все небо.";"50.0";"-19.2";"";"";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"23.0";
"10.03.2010 07:00";"-18.4";"745.2";"761.5";"";"80";"Ветер, дующий с юго-юго-востока";"3";"";"";"100%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перисто-слоистые, покрывающие все небо.";"50.0";"-21.0";"";"";"";"";"";"";
"10.03.2010 04:00";"-24.0";"746.7";"763.4";"";"85";"Ветер, дующий с юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-25.8";"";"";"";"";"";"";
"10.03.2010 01:00";"-22.2";"747.8";"764.4";"";"85";"Ветер, дующий с востоко-юго-востока";"1";"";"";"50%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-24.0";"";"";"";"";"";"";
"09.03.2010 22:00";"-19.3";"749.1";"765.5";"";"75";"Ветер, дующий с востоко-юго-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"-8.0";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-22.6";"";"";"";"";"";"";
"09.03.2010 19:00";"-12.7";"";"";"";"60";"Ветер, дующий с западо-юго-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"-18.8";"";"";"";"";"";"";
"09.03.2010 16:00";"-9.6";"750.0";"765.8";"";"57";"Ветер, дующий с юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перисто-слоистые, покрывающие все небо.";"50.0";"-16.6";"";"";"";"";"";"";
"09.03.2010 13:00";"-12.3";"751.6";"767.6";"";"55";"Ветер, дующий с юго-юго-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"-19.5";"";"";"";"";"";"";
"09.03.2010 10:00";"-19.7";"752.8";"769.4";"";"75";"Ветер, дующий с юго-юго-запада";"1";"";"";"60%.";" ";"";"";"-27.8";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"-23.0";"";"";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"24.0";
"09.03.2010 07:00";"-25.8";"753.0";"770.0";"";"85";"Ветер, дующий с юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-27.6";"";"";"";"";"";"";
"09.03.2010 04:00";"-22.4";"753.9";"770.6";"";"80";"Ветер, дующий с юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-24.9";"";"";"";"";"";"";
"09.03.2010 01:00";"-21.9";"754.6";"771.4";"";"75";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-25.1";"";"";"";"";"";"";
"08.03.2010 22:00";"-18.1";"755.6";"772.2";"";"65";"Ветер, дующий с юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"-6.6";"";"";"";"";"";"50.0";"-23.0";"";"";"";"";"";"";
"08.03.2010 19:00";"-8.5";"755.9";"771.8";"";"42";"Ветер, дующий с западо-юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-19.1";"";"";"";"";"";"";
"08.03.2010 16:00";"-7.8";"756.6";"772.5";"";"45";"Ветер, дующий с запада";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-17.7";"";"";"";"";"";"";
"08.03.2010 13:00";"-12.2";"758.5";"774.6";"";"45";"Ветер, дующий с юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-21.7";"";"";"";"";"";"";
"08.03.2010 10:00";"-20.9";"759.4";"776.2";"";"70";"Ветер, дующий с юго-запада";"2";"";"";"50%.";" ";"";"";"-25.9";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-24.9";"";"";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"24.0";
"08.03.2010 07:00";"-25.7";"759.4";"776.5";"";"75";"Ветер, дующий с юго-запада";"1";"";"";"40%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-28.8";"";"";"";"";"";"";
"08.03.2010 04:00";"-24.8";"759.6";"776.7";"";"75";"Ветер, дующий с юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-28.0";"";"";"";"";"";"";
"08.03.2010 01:00";"-24.8";"759.9";"777.0";"";"70";"Ветер, дующий с юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-28.7";"";"";"";"";"";"";
"07.03.2010 22:00";"-19.7";"759.8";"776.4";"";"55";"Ветер, дующий с запада";"2";"";"";"Облаков нет.";" ";"";"";"";"-10.3";"";"";"";"";"";"50.0";"-26.4";"";"";"";"";"";"";
"07.03.2010 19:00";"-12.5";"759.0";"775.0";"";"45";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-22.0";"";"";"";"";"";"";
"07.03.2010 16:00";"-10.5";"758.6";"774.7";"";"50";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-18.9";"";"";"";"";"";"";
"07.03.2010 13:00";"-14.2";"758.8";"775.1";"";"55";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-21.3";"";"";"";"";"";"";
"07.03.2010 10:00";"-22.5";"758.6";"775.4";"";"85";"Ветер, дующий с западо-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"-26.4";"";"";"";"";"";"";"50.0";"-24.3";"";"";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"25.0";
"07.03.2010 07:00";"-26.4";"757.5";"774.6";"";"85";"Ветер, дующий с юго-юго-запада";"1";"";"";"20–30%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-28.2";"";"";"";"";"";"";
"07.03.2010 04:00";"-25.2";"757.1";"774.2";"";"85";"Ветер, дующий с юго-запада";"1";"";"";"20–30%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-27.0";"";"";"";"";"";"";
"07.03.2010 01:00";"-22.6";"756.7";"773.6";"";"85";"Ветер, дующий с западо-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-24.4";"";"";"";"";"";"";
"06.03.2010 22:00";"-17.9";"756.4";"772.9";"";"71";"Ветер, дующий с запада";"3";"";"";"40%.";" ";"";"";"";"-12.3";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-21.9";"";"";"";"";"";"";
"06.03.2010 19:00";"-14.3";"755.2";"771.4";"";"65";"Ветер, дующий с северо-северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-19.4";"";"";"";"";"";"";
"06.03.2010 16:00";"-12.9";"753.4";"769.5";"";"60";"Ветер, дующий с северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-19.0";"";"";"";"";"";"";
"06.03.2010 13:00";"-13.9";"752.6";"768.8";"";"60";"Ветер, дующий с северо-северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-20.0";"";"";"";"";"";"";
"06.03.2010 10:00";"-17.3";"752.1";"768.4";"";"65";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"-18.1";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-22.3";"";"";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"25.0";
"06.03.2010 07:00";"-18.1";"751.0";"";"";"65";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-23.1";"";"";"";"";"";"";
"06.03.2010 04:00";"-17.2";"750.4";"766.6";"";"60";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-23.1";"";"";"";"";"";"";
"06.03.2010 01:00";"-15.2";"750.1";"766.3";"";"60";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-21.2";"";"";"";"";"";"";
"05.03.2010 22:00";"-14.1";"749.7";"765.8";"";"60";"Ветер, дующий с северо-северо-запада";"3";"";"";"100%.";"Снег неливневый. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-12.5";"";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-20.2";"0.2";"12";"";"";"";"";
"05.03.2010 19:00";"-13.7";"749.0";"765.2";"";"70";"Ветер, дующий с севера";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-18.0";"";"";"";"";"";"";
"05.03.2010 16:00";"-12.7";"748.3";"764.3";"";"60";"Ветер, дующий с севера";"5";"";"";"100%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перисто-слоистые, покрывающие все небо.";"50.0";"-18.8";"";"";"";"";"";"";
"05.03.2010 13:00";"-14.2";"749.3";"765.4";"";"55";"Ветер, дующий с северо-северо-востока";"4";"";"";"100%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перисто-слоистые, покрывающие все небо.";"50.0";"-21.3";"";"";"";"";"";"";
"05.03.2010 10:00";"-18.0";"750.2";"766.5";"";"65";"Ветер, дующий с востоко-юго-востока";"3";"";"";"100%.";" ";"";"";"-19.4";"";"";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-23.0";"";"";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"25.0";
"05.03.2010 07:00";"-19.4";"750.6";"767.0";"";"60";"Ветер, дующий с северо-северо-востока";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-25.2";"";"";"";"";"";"";
"05.03.2010 04:00";"-18.3";"751.6";"767.9";"";"60";"Ветер, дующий с северо-северо-востока";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-24.2";"";"";"";"";"";"";
